id;name;description;alarm_type;conf;created_by;create_time;modified_by;modified_time;status
1;Managed;transmitter Credit;Sports Cotton Chair;Frozen Devolved;payment state;2023-04-09T06:04:25;Direct Landing;2023-04-08T15:14:23;out-of-the-box User
2;red Mississippi Buckinghamshire;reboot Tactics;reboot Assistant infrastructures;deposit hacking Account;channels bluetooth payment;2023-04-09T11:04:03;tan gold Forward;2023-04-08T14:54:52;impactful Ball
3;Garden superstructure Operations;quantify Netherlands purple;open-source e-business;orchid mindshare;transmitting Home Burg;2023-04-09T10:46:28;content Wooden;2023-04-08T23:35:18;primary Borders tan
4;calculating TCP parse;Wooden incremental;up Handcrafted;Garden;olive Borders Granite;2023-04-09T04:40:01;e-markets Shoes overriding;2023-04-09T08:15:02;solid Internal client-server
5;Gourde mobile;Fish Steel;calculating Granite;interface Clothing applications;Chicken Light Metal;2023-04-08T23:20:14;invoice enhance Avon;2023-04-08T17:03:38;Cotton
6;Denar;synthesizing;Exclusive Seamless Iraq;Direct;Switchable Infrastructure;2023-04-09T10:21:23;digital;2023-04-09T01:11:01;Cyprus Oregon
7;Rustic;Soap;Identity;Buckinghamshire;Dollar Unbranded Jewelery;2023-04-08T19:29:52;synthesize Ergonomic programming;2023-04-09T05:31:45;California
8;leading-edge Assistant;Gold;Regional;Grocery;open-source;2023-04-08T18:05:34;generate compelling;2023-04-08T13:20:19;synthesize tan cross-platform
9;Small SCSI 24/7;Louisiana GB Lake;Distributed;coherent Alaska upward-trending;Account Triple-buffered killer;2023-04-09T08:56:58;tan Accountability;2023-04-08T16:05:22;override back
10;drive brand Cotton;Vermont e-services;Paradigm engine Vietnam;real-time function;AGP navigate Steel;2023-04-09T01:37:41;Corner programming;2023-04-09T03:57:37;drive empower
