id;name;alias;event_type;description;event_sample;event_rule;created_time;created_by;modified_time;modified_by
1;Chicken;Functionality program Assurance;Louisiana;Oregon;Dirham;Arkansas Synchronised cyan;2023-04-08T21:23:04;Bedfordshire;2023-04-08T20:24:33;payment indexing
2;Islands;Texas Shoes port;Gloves Account Reactive;compress Administrator;Soft application;Orchestrator monitor Rubber;2023-04-09T10:55:25;Assistant;2023-04-08T21:09:34;secondary
3;Senior Global;purple markets New;Ethiopian;National Applications Minnesota;Moldovan Utah Hawaii;Dynamic Credit;2023-04-09T05:45:39;Loan seize Frozen;2023-04-09T08:21:22;syndicate Rubber
4;maroon secondary;Account Inverse;Steel microchip Account;Drive Games Integration;deposit benchmark payment;Salad morph;2023-04-09T01:29:06;Hampshire Movies Beauty;2023-04-09T06:55:16;feed Tunisian withdrawal
5;Music white PNG;Decentralized;program Small;sensor;Cotton mindshare;invoice Peso;2023-04-08T17:57:17;programming Buckinghamshire;2023-04-08T14:06:30;Health indigo
6;North matrix;haptic;Way;Representative Concrete card;Personal;Bermudian Pants;2023-04-08T23:41:33;Automotive neural;2023-04-09T08:20:11;Licensed Mobility copying
7;Quetzal responsive Fantastic;Loan engineer;Executive International Avon;Hat Loan;Account;card deliver;2023-04-09T11:43:33;cross-platform;2023-04-09T05:15:59;web-readiness Associate olive
8;Account parsing scale;withdrawal purple;Bedfordshire;e-tailers program Generic;ROI;port technologies;2023-04-08T21:46:33;Wooden Practical;2023-04-09T00:56:54;encompassing
9;dynamic;generate;Director;back unleash Plastic;up;Fantastic;2023-04-09T08:04:52;exploit empowering;2023-04-08T19:19:12;envisioneer Tools
10;Associate Money responsive;wireless Associate Buckinghamshire;invoice;ROI;bifurcated Bacon;Metal eco-centric Colon;2023-04-08T14:26:36;invoice withdrawal dedicated;2023-04-09T10:12:58;networks
