id;name;alias;source_type;description;url;credential;created_time;created_by;modified_time;modified_by;is_used
1;Home Automated;metrics Car Cotton;Table;Cliff;http://leila.info;Hat;2023-04-09T11:20:52;Visionary;2023-04-08T13:25:39;primary green structure;false
2;groupware copy PCI;reboot;withdrawal;deposit Loan;http://joany.info;Operations Tenge Shoes;2023-04-08T16:41:53;Trafficway Credit deliver;2023-04-08T19:02:13;Secured Junctions deposit;false
3;pixel Cocos web-enabled;tangible AI cross-platform;Music Saint;Concrete Solutions Ball;http://willard.com;India Soft;2023-04-08T17:44:09;deposit;2023-04-08T20:52:46;Health IB Rubber;false
4;Missouri;Silver;Escudo Salad Incredible;e-markets;http://mylene.name;Architect;2023-04-09T08:21:12;Papua;2023-04-08T16:44:49;Dam;false
5;Via initiative;Tuna;Liaison Ergonomic syndicate;Granite;https://brenna.com;Gambia;2023-04-08T16:52:41;Texas Electronics;2023-04-08T15:19:00;Exclusive Guilder;false
6;engineer Clothing;port Corporate;Generic Reduced COM;Fresh;http://seamus.biz;gold;2023-04-08T13:20:07;seize Georgia blockchains;2023-04-08T18:28:25;e-commerce 24/7;true
7;Soap Hat;communities;Cotton maximize;tertiary Mouse;http://tamara.name;Gorgeous;2023-04-09T09:48:35;Checking interface;2023-04-09T02:55:04;secured infrastructure;false
8;indexing Rustic value-added;Stream;Nicaragua;Industrial Avenue Paradigm;http://hank.biz;Reduced Generic Interface;2023-04-08T21:37:30;Customer killer;2023-04-09T06:15:36;Forward Grocery Avon;true
9;Yen bypass;Faso;Car;Eritrea Dynamic;http://jules.com;Account;2023-04-08T13:32:57;Loan Flats;2023-04-09T00:12:31;Infrastructure;true
10;Cotton Caribbean function;Road Tenge;deposit Strategist Borders;Sleek;https://fred.org;revolutionize;2023-04-08T23:23:29;index JSON;2023-04-08T16:09:44;Orchestrator Lead microchip;false
